# opravit v derinetu, 1. závorka = rodič , 2. závorka = dítě
('přednost', 'N', 'přednost')	('přednostní', 'A', 'přednostní')
('pýcha', 'N', 'pýcha')	('pýchavka', 'N', 'pýchavka')
('bolševik', 'N', 'bolševik')	('bolševička', 'N', 'bolševička')
('alkohol', 'N', 'alkohol')	('alkoholický', 'A', 'alkoholický')
('alkoholik', 'N', 'alkoholik')	('alkoholismus', 'N', 'alkoholismus')
('bolševik', 'N', 'bolševik')	('bolševismus', 'N', 'bolševismus')
('cynik', 'N', 'cynik')	('cynismus', 'N', 'cynismus')
('egocentrik', 'N', 'egocentrik_^(sebestředný_člověk)')	('egocentrismus', 'N', 'egocentrismus')
('eklektik', 'N', 'eklektik')	('eklekticismus', 'N', 'eklekticismus')
('fanatik', 'N', 'fanatik')	('fanatismus', 'N', 'fanatismus')
('gnostik', 'N', 'gnostik')	('gnosticismus', 'N', 'gnosticismus')
('gnose', 'N', 'gnose')	('gnostický', 'A', 'gnostický')
('hédonik', 'N', 'hédonik')	('hédonismus', 'N', 'hédonismus')
('mystik', 'N', 'mystik')	('mysticismus', 'N', 'mysticismus')
('mystika', 'N', 'mystika')	('mystický', 'A', 'mystický')
('organik', 'N', 'organik')	('organismus', 'N', 'organismus')
('reumatik', 'N', 'reumatik')	('reumatismus', 'N', 'reumatismus')
('revmatik', 'N', 'revmatik')	('revmatismus', 'N', 'revmatismus')
('revma', 'N', 'revma_;U')	('revmatik', 'N', 'revmatik')
('revma', 'N', 'revma_;U')	('revmatický', 'A', 'revmatický')
('sangvinik', 'N', 'sangvinik')	('sangvinismus', 'N', 'sangvinismus')
('skeptik', 'N', 'skeptik')	('skepticismus', 'N', 'skepticismus')
('skepse', 'N', 'skepse')	('skeptický', 'A', 'skeptický')
('skepse', 'N', 'skepse')	('skeptik', 'N', 'skeptik')
('stoik', 'N', 'stoik')	('stoicismus', 'N', 'stoicismus')
