advent	advent
agronom	agronomie
alobal	alobal
amorální	morální
analfabet	analfabet
angrešt	angrešt
anorganický	anorganika
arci	arci
arytmie	rytmus
asociální	asociál
asymetrie	symetrie
bágl	bágl
bambus	bambus
barchet	barchet
bible	bible
bibliofil	bibliofilie
bibliografie	bibliografie
bizarní	bizarní
bolen	bolen
brslen	brslen
brunátný	brunátný
car	car
cytostatikum	cytostatický
čabraka	čabrak
čakan	čagan
dehet	dehet
den	den
den	den
deska	deska
dýha	dýha
fakan	fakan
fara	fara
fermež	fermež
fiflena	fiflena
fígl	fígl
flanděra	flanděra
flaška	flaška
flusat	flusnout
fortel	fortel
fotobuňka	fotobuňka
fukýř	fukéř
gajdy	gajdy
galeje	galeje
gatě	gatě
gatě	gatě
gazda	gazda
groš	groš
hamburger	hamburger
hampejz	hampejz
harampádí	harampádí
harant	harant
harfa	harfa
hastrman	hastrman
hazard	hazard
hejtman	hejtman
hektolitr	hektolitr
herold	herold
historie	historie
homole	homole
ikona	ikona
jáhla	jáhla
jelimánek	jeliman
jeseter	jeseter
jet	jet
juxtapozice	juxtapozice
kabela	kabela
kafr	kafr
kalous	kalous
kapitán	kapitán
kartografie	kartografie
kartotéka	kartotéka
kat	kat
klen	klen
kleveta	kleveta
kokot	kokot
kokot	kokot
kolbiště	kolba
komnata	komnata
komoň	komoň
koniklec	koniklec
kopist	kopist
kopist	kopist
kopr	kopr
koráb	koráb
kornout	kornout
koroptev	koroptev
kosman	kosman
kosmatý	kosmatý
kostým	kostým
kotec	kotec
kotrč	kotrč
koukol	koukol
kredenc	kredenc
kredenc	kredenc
kštice	kštice
labužník	labužník
licoměrný	licoměrný
luna	luna
lyceum	lyceum
malicherný	malicherný
mameluk	mameluk
melta	melta
mílius	milius
motolice	motolice
motorest	motorest
motouz	motouz
myrha	myrha
nadace	nadace
narafičit	rafičit
nohejbal	ball
ocún	ocún
odveta	veta
ochechule	ochechule
onuce	onuce
orodovat	orodovat
pajzl	pajzl
palanda	palanda
pancíř	pancéř
papyrus	papyrus
pardál	pardál
pastorek	pastorek
petlice	petlice
piroh	piroga
piskoř	piskoř
pisoár	pisoár
pneumotorax	pneumothorax
ponrava	ponrava
pop	pop
pop	pop
preclík	preclík
prelát	prelát
prevít	prevít
protoplazma	protoplazma
prototyp	prototyp
pyj	pyj
pyžamo	pyžamo
rafije	rafije
raketa	raketa
rantl	rantl
remuláda	remuláda
repetit	repetit
rež	rež
ring	ring
rotyka	rotika
rumba	rumba
ryngle	ryngle
sandál	sandál
sen	sen
sen	sen
silon	silon
siréna	siréna
sketa	sketa
slota	slota
sobol	sobol
sochor	sochor
sója	soja
stop	stop
svastika	svastika
syfilis	syfilis
syfilis	syfilis
šenk	šenk
šindel	šindel
šoufek	šouf
šoufl	šoufl
špunt	špunt
špunt	špunt
štuk	štuk
temeno	temeno
tenata	tenata
topánky	topánky
topor	topor
trampota	trampota
tréma	tréma
treperenda	treperenda
trumbera	trumbera
tuna	tuna
turnaj	turnaj
vari	vari
zašantročit	šantročit
žinčice	žinčice
